Quarter,Department,Location,Category,Budgeted_Amount,Actual_Spending
Q1 2023,HR,New York,Salaries,122958,777444
Q1 2023,HR,New York,Office Supplies,672155,525458
Q1 2023,HR,New York,Travel,132932,787718
Q1 2023,HR,New York,Training,366838,551701
Q1 2023,HR,New York,Equipment,260178,3996
Q1 2023,HR,New York,Utilities,645167,852071
Q1 2023,HR,New York,Miscellaneous,111268,507328
Q1 2023,HR,New York,Marketing,733180,570941
Q1 2023,HR,New York,Consulting,55886,688435
Q1 2023,HR,New York,Maintenance,138337,859611
Q1 2023,HR,New York,Software Licenses,522430,568297
Q1 2023,HR,New York,Healthcare,955698,960791
Q1 2023,HR,New York,Security,88498,757155
Q1 2023,HR,New York,Catering,900159,625388
Q1 2023,HR,New York,Transportation,913756,57975
Q1 2023,HR,New York,Legal Fees,176203,806208
Q1 2023,HR,San Francisco,Salaries,192335,393561
Q1 2023,HR,San Francisco,Office Supplies,279167,581954
Q1 2023,HR,San Francisco,Travel,42090,118552
Q1 2023,HR,San Francisco,Training,330365,254364
Q1 2023,HR,San Francisco,Equipment,65820,294057
Q1 2023,HR,San Francisco,Utilities,788201,166286
Q1 2023,HR,San Francisco,Miscellaneous,322879,672302
Q1 2023,HR,San Francisco,Marketing,719315,1030914
Q1 2023,HR,San Francisco,Consulting,328069,771288
Q1 2023,HR,San Francisco,Maintenance,777997,1084511
Q1 2023,HR,San Francisco,Software Licenses,200041,466248
Q1 2023,HR,San Francisco,Healthcare,792743,137062
Q1 2023,HR,San Francisco,Security,104355,5131
Q1 2023,HR,San Francisco,Catering,236796,213654
Q1 2023,HR,San Francisco,Transportation,215176,550849
Q1 2023,HR,San Francisco,Legal Fees,185779,790494
Q1 2023,HR,Chicago,Salaries,348449,969563
Q1 2023,HR,Chicago,Office Supplies,422909,859804
Q1 2023,HR,Chicago,Travel,990436,780880
Q1 2023,HR,Chicago,Training,259795,185344
Q1 2023,HR,Chicago,Equipment,487232,350802
Q1 2023,HR,Chicago,Utilities,918040,5477
Q1 2023,HR,Chicago,Miscellaneous,501186,205380
Q1 2023,HR,Chicago,Marketing,157730,131134
Q1 2023,HR,Chicago,Consulting,871910,364381
Q1 2023,HR,Chicago,Maintenance,385681,968921
Q1 2023,HR,Chicago,Software Licenses,150503,412611
Q1 2023,HR,Chicago,Healthcare,655811,600359
Q1 2023,HR,Chicago,Security,528035,559545
Q1 2023,HR,Chicago,Catering,649143,567619
Q1 2023,HR,Chicago,Transportation,453366,205135
